airlineHub,airlineHub
battleFoughtAt,battleFoughtAt
broadcastArea,broadcastArea
campusLocation,campusLocation
city,city
country,country
county,county
foundingLocation,foundingLocation
garrison,garrison
ground,stadium,ground,homeArena
homeArena,homeArena
stadium,stadium
headquarter,headquarter
jurisdiction,jurisdiction
localAuthority,localAuthority
locatedAt,locatedAt
region,region
regionServed,regionServed
state,state
targetAirport,targetAirport
affiliation,internationalAffiliation,athleticsAffiliation,europeanAffiliation,nationalAffiliation,affiliation
athleticsAffiliation,athleticsAffiliation
europeanAffiliation,europeanAffiliation
internationalAffiliation,internationalAffiliation
nationalAffiliation,nationalAffiliation
associatedWith,league,university,associatedWith,band
band,band
league,league
university,university
authority,authority
broadcastNetwork,formerBroadcastNetwork,broadcastNetwork
formerBroadcastNetwork,formerBroadcastNetwork
commandStructure,commandStructure
company,parentCompany,distributingCompany,company,owningCompany
distributingCompany,distributingCompany
owningCompany,owningCompany
parentCompany,parentCompany
distributingLabel,distributingLabel
division,division
isPartOf,isPartOf
legislativeBody,house,legislativeBody
house,house
makesProductFor,makesProductFor
mergedIntoParty,mergedIntoParty
militaryBranch,militaryBranch
operator,operator
organization,childOrganisation,parentOrganisation,foundingOrganization,organization
childOrganisation,childOrganisation
foundingOrganization,foundingOrganization
parentOrganisation,parentOrganisation
owner,owner
politicalParty,politicalParty,politicalPartyInLegislature,politicalPartyOfLeader
politicalPartyInLegislature,politicalPartyInLegislature
politicalPartyOfLeader,politicalPartyOfLeader
predecessor,predecessor
recordLabel,recordLabel
religion,religion
rival,rival
splitFromParty,splitFromParty
subsidiary,subsidiary,sisterStation
sisterStation,sisterStation
successor,successor
alumni,alumni
associates,associatedMusicalArtist,associates
associatedMusicalArtist,associatedMusicalArtist
chairperson,chairperson
coach,coach
director,director
founder,founder
head,head
influencedBy,influencedBy
leader,leader
manager,manager
member,bandMember,formerBandMember,member
bandMember,bandMember,formerBandMember
formerBandMember,formerBandMember
officeholder,viceChancellor,dean,president,chancellor,secondCommander,commander,notableCommander,secretaryGeneral,chairman,officeholder
chairman,chairman
chancellor,chancellor
commander,commander,secondCommander,notableCommander
notableCommander,notableCommander
secondCommander,secondCommander
dean,dean
president,president
secretaryGeneral,secretaryGeneral
viceChancellor,viceChancellor
patron,patron,schoolPatron
schoolPatron,schoolPatron
people,people,keyPeople
keyPeople,keyPeople
rector,rector
