academicAdvisor,academicAdvisor,per
agency,agency,org
almaMater,almaMater,org
appointer,appointedBy,per
associate,associate,per
associatedBand,band,org
associatedMusicalArtist,associatedMusicalArtist,per
award,awardedBy,org
award,awardedAt,loc
battle,battleFoughtAt,loc
battle,battleFaughtUnder,org
beatifiedBy,beatifiedBy,per
beatifiedPlace,beatifiedPlace,loc
billed,billedFrom,loc
birthPlace,placeOfBirth,loc
board,boardMemberOf,org,
bodyDiscovered,bodyDiscoveredPlcae,loc
canonizedBy,canonizedBy,per
canonizedPlace,canonizedPlace,loc
chancellor,inOfficeChancellor,per
child,child,per
choreographer,choreographer,per
citizenship,countryOfCitizenship,loc
club,club,org
coach,coachOf,org
coach,coachOf,per
coachedTeam,coachedTeam,org
college,college,org
country,country,loc
currentMember,currentMemberOf,org
currentPartner,currentPartner,per
deathPlace,placeOfDeath,loc
debutTeam,debutTeam,org
deputy,deputy,per
doctoralAdvisor,doctoralAdvisor,per
doctoralStudent,doctoralStudent,per
draftTeam,draftTeam,org
education,educatedAt,org
employer,employer,org
employer,employer,per
formerChoreographer,formerChoreographer,per
formerCoach,formerCoachOf,org
formerCoach,formerCoachOf,per
formerHighschool,formerHighSchool,org
formerPartner,formerPartner,per
formerTeam,formerTeam,org
governor,inOfficeGovernor,per
governorGeneral,inOfficeGovernorGeneral,per
highschool,highSchool,org
hometown,hometown,loc
honours,honouredAt,loc
influenced,influenced,per
influencedBy,influencedBy,per
institution,institution,org
league,league,org
lieutenant,inOfficeLieutenant,per
location,locatedAt,loc
majorShrine,majorShrine,loc
managerClub,managerOfClub,org
militaryBranch,militaryBranch,org
militaryUnit,militaryUnit,org
mission,missionAt,loc
monarch,inOfficeMonarch,per
nationality,nationality,loc
nationalTeam,nationalTeam,org
notableStudent,notableStudent,per
opponent,opponent,per
otherParty,memberOfPoliticalParty,org
parent,parent,per
partner,partner,per
party,memberOfPoliticalParty,org
placeOfBurial,placeOfBurial,loc
predecessor,predecessor,per
president,inOfficePresident,per
primeMinister,inOfficePrimeMinister,per
prospectLeague,prospectLeague,org
prospectTeam,prospectTeam,org
recordLabel,recordLabel,org
region,region,loc
relation,relative,per
relative,relative,per
religion,religion,org
residence,residence,loc
restingPlace,restingPlace,loc
school,school,loc
significantBuilding,significantBuilding,loc
significantProject,significantProject,loc
sportCountry,countryForSport,org
spouse,spouse,per
stateOfOrigin,stateOfOrigin,loc
successor,successor,per
team,team,org
trainer,trainer,per
training,trainedAt,loc
university,university,org
vicePresident,inOfficeVicePresident,per
vicePrimeMinister,inOfficeVicePrimeMinister,per
